"Sign Up for Our Newsletter:","Newsletter"
"Details","Product Description"
"You may also be interested in the following product(s)","You may also like the following products"
"Additional Information","Features"
"%s (item)","%s (item)"
"%s (items)","%s (items)"
"There are <a href=""%s"">%s items</a> in your cart.","There are <a href=""%s"">%s items</a> in your shopping cart."
"There is <a href=""%s"">1 item</a> in your cart.","There is <a href=""%s"">1 item</a> in your shopping cart."
"Bestill Golden Libodo Vital:","Order Golden Libodo Vital:"
"Mobilnummer:","Mobile Number:"
"Adresse:","Address:"
"Postnr./Sted:","Zip. / Location:"
"add to cart","Order now" 
"Country","Country"
"select country"," "
"Order","Order"
"Your name:","Your name:"
"E-mail:","E-mail:"
"Mobile number:","Mobile number:"
"Address:","Address:"
"Zip:","Zip:"
"Qty","Qty"
"Totalsum (Fraktfritt):","Subtotal (Free shipping):"
"Bruk denne adressen til levering.","Use this address for delivery."
"Motta nyhetsbrev","Newsletter"
"Selges med abonnement som gir","Sold by subscription that provides"
"m&aring;nedlige forsendelser. Ingen bindingstid.","monthly shipments. No lock-in."
"Bestill","Order"
"Thank you for your order.","Thank you for your order."
"+ How it works","+ How it works" 
"+ 10 great tips","+ Studies show"   
"+ See the advert","+ Recomended use" 
"I confirm that I am at least 18 years and that I have read and accepted the Natural Pharma Group Ltd conditions.","I confirm that I am at least 18 years and that I have read and accepted the Natural Pharma Group Ltd conditions."
"click here to buy a single product","click here to buy a single product"

