"Order Golden Libodo Vital:","Bestill Golden Libodo Vital:"
"Order Golden Libido Active:","Bestill Golden Libido Active:"
"Your name:","Ditt navn:"
"E-mail:","E-post:"
"Mobile number:","Mobil nummer:"
"Address:","Adresse:"
"Adresse:","Address:"
"Country","Velg land"
"select country","  "
"Zip. / Location:","Postnr./Sted:"
"Zip:","postnummer:"
"Qty:","Stk:"
"Subtotal (Free shipping):","Totalsum (Fraktfritt):"
"KR. 498,-","KR. 498,-"
"Use this address for delivery.","Bruk denne adressen til levering."
"Newsletter ","Motta nyhetsbrev"
"Sold by subscription that provides","Selges med abonnement som gir"
"monthly shipments. No lock-in.","m&aring;nedlige forsendelser. Ingen bindingstid."
"Order","Order"  
"add to cart","Bestill nå" 
"About Us","Om oss"
"Customer Service","Kundeservice"
"Privacy Policy","Personvern"
"Home","Startside"
"Checkout","Kassen"
"Log In","Logg inn"
"You have no items in your shopping cart.","Du har ingen varer i handlekurven."
"I confirm that I am at least 18 years and that I have read and accepted the Natural Pharma Group Ltd conditions.","Jeg bekrefter at jeg er minst 18 ar, og at jeg har lest og akseptert Natural Pharma Group Ltd forhold."
"Order","Bestill"
"(free shipping)","(gratis frakt)"
"click here to buy a single product","klikk her for a kjøpe et enkelt produkt"
"+ How it works","+ Slik fungerer det"
"+ 10 great tips","+ Studier viser"   
"+ See the advert","+ Anbefalt bruk" 
"Read more","Les mer"
"Thank you for your order.","Takk for din bestilling."
"Log Ind","Logg inn"
"KR. 498,-","KR. 498,-"
"Bruk denne adressen til levering.","Use this address for delivery."
"Motta nyhetsbrev","Newsletter"
"Selges med abonnement som gir","Sold by subscription that provides"
"m&aring;nedlige forsendelser. Ingen bindingstid.","monthly shipments. No lock-in." 
"click here to buy a single product","klikk her for å kjøpe et enkelt produkt"




 


